row_idx	col_idx	log2ratio
21	3	445.515104068199
22	3	445.515104068199
23	3	3318.18222390432
24	3	2674.48081984115
25	3	2571.28637664723
26	3	3647.18785108135
27	3	3820.99688846691
28	3	861.260747500421
29	3	1039.46073619928
30	3	911.965026132984
31	3	658.628818993258
32	3	892.590002356982
33	3	343.316103466333
34	3	343.316103466333
35	3	512.837889333756
36	3	3822.54263348126
1	4	2913.16235938455
2	4	3049.08597395143
3	4	27.4484778325902
4	4	0
5	4	2138.38372557215
6	4	1553.10741801066
7	4	528.814371796956
8	4	851.921456981806
9	4	494.898697870841
10	4	600.14921863495
11	4	832.385859487087
12	4	764.957807099246
13	4	308.991417512549
14	4	460.467289037694
15	4	460.467289037694
16	4	626.759388271712
17	4	673.305633321997
18	4	673.305633321997
19	4	341.020687260036
20	4	341.020687260036
21	4	420.539395611712
22	4	420.539395611712
23	4	3345.54897649693
24	4	2701.82064550164
25	4	2598.62008786848
26	4	3674.56357165656
27	4	3848.37828424522
28	4	888.409940560917
29	4	1066.75585876808
30	4	939.258423357779
31	4	685.840966307725
32	4	919.91781686345
33	4	363.013489975472
34	4	363.013489975472
35	4	486.766677565692
36	4	3849.87041306168
1	5	810.809671038445
2	5	923.663196695154
3	5	2111.28854633213
4	5	2138.38372557215
5	5	0
6	5	595.795487016736
7	5	2597.54661332936
8	5	2960.94220108885
9	5	2591.0090609445
10	5	2688.32742343672
11	5	1334.42348268857
12	5	1387.76820151835
13	5	2322.76832807116
14	5	2513.82613398917
15	5	2513.82613398917
16	5	2676.18095049781
17	5	2713.81810055287
18	5	2713.81810055287
19	5	2386.7404806142
20	5	2386.7404806142
21	5	2501.05940639345
22	5	2501.05940639345
23	5	1227.45027111915
24	5	588.750950415041
25	5	487.809825512096
26	5	1555.70002438965
27	5	1729.61307315986
28	5	1253.14803075265
29	5	1079.18070396748
30	5	1207.39632935453
31	5	1459.52917940763
32	5	1228.37615316581
33	5	1847.24402649264
34	5	1847.24402649264
35	5	2579.54107975845
36	5	1722.1496002002
1	6	1398.8118747008
2	6	1517.7100508583
3	6	1526.29707779016
4	6	1553.10741801066
5	6	595.795487016736
6	6	0
7	6	2003.24103613849
8	6	2367.16601401892
9	6	1997.80160851054
10	6	2095.03974123453
11	6	777.693439965003
12	6	820.732449765435
13	6	1728.98766814488
14	6	1919.52009679152
15	6	1919.52009679152
16	6	2081.48629863854
17	6	2118.95758958915
18	6	2118.95758958915
19	6	1792.35532100204
20	6	1792.35532100204
21	6	1907.10976852109
22	6	1907.10976852109
23	6	1820.66837203758
24	6	1178.08231009026
25	6	1075.26422961623
26	6	2149.46913581841
27	6	2323.47645417361
28	6	671.834616114064
29	6	510.826672180559
30	6	634.317936020353
31	6	878.870404256442
32	6	657.087578759329
33	6	1253.35336616615
34	6	1253.35336616615
35	6	1986.45816786324
36	6	2316.88895469227
1	7	3390.51534590279
2	7	3518.14441781164
3	7	553.937948888446
4	7	528.814371796956
5	7	2597.54661332936
6	7	2003.24103613849
7	7	0
8	7	371.554374397913
9	7	68.5995634410453
10	7	103.619848709239
11	7	1336.86003404444
12	7	1265.21489552878
13	7	276.107332374928
14	7	84.5229335319392
15	7	84.5229335319392
16	7	100.347779216096
17	7	147.192455351118
18	7	147.192455351118
19	7	215.141020495996
20	7	215.141020495996
21	7	120.512868582509
22	7	120.512868582509
23	7	3818.9255082585
24	7	3174.16675238762
25	7	3070.75286048579
26	7	4148.32596146029
27	7	4322.46869790166
28	7	1363.79234419438
29	7	1546.6317269373
30	7	1421.68333423612
31	7	1171.02152015157
32	7	1405.16790415766
33	7	750.348008282613
34	7	750.348008282613
35	7	66.2744869716286
36	7	4318.73254509066
1	8	3749.13197483307
2	8	3879.302551415
3	8	878.955941444325
4	8	851.921456981806
5	8	2960.94220108885
6	8	2367.16601401892
7	8	371.554374397913
8	8	0
9	8	371.742458657396
10	8	286.090709795866
11	8	1678.81384886476
12	8	1610.42494383158
13	8	644.474341707137
14	8	455.791141972062
15	8	455.791141972062
16	8	318.763051107889
17	8	300.86464973999
18	8	300.86464973999
19	8	575.658353347334
20	8	575.658353347334
21	8	460.161666039315
22	8	460.161666039315
23	8	4178.84654423341
24	8	3534.0660547518
25	8	3430.64762169394
26	8	4508.25501237209
27	8	4682.32572294441
28	8	1718.5268733006
29	8	1900.33560035071
30	8	1773.57673261129
31	8	1520.09309899596
32	8	1755.85721370928
33	8	1115.58183163477
34	8	1115.58183163477
35	8	385.237536852164
36	8	4680.34441580921
1	9	3379.92345596487
2	9	3509.83830738904
3	9	521.109388343844
4	9	494.898697870841
5	9	2591.0090609445
6	9	1997.80160851054
7	9	68.5995634410453
8	9	371.742458657396
9	9	0
10	9	111.691464737535
11	9	1315.51230038539
12	9	1245.17943702055
13	9	277.051741279962
14	9	109.004413963718
15	9	109.004413963718
16	9	156.355245480183
17	9	201.572308510488
18	9	201.572308510488
19	9	211.704503408143
20	9	211.704503408143
21	9	101.877542064552
22	9	101.877542064552
23	9	3809.60983227262
24	9	3164.78696927056
25	9	3061.36029036386
26	9	4139.03534712624
27	9	4313.14606959435
28	9	1350.57505247242
29	9	1532.8949432706
30	9	1406.81893170389
31	9	1154.27195221104
32	9	1389.49817457399
33	9	745.670104921224
34	9	745.670104921224
35	9	21.3552101122932
36	9	4310.83022713649
1	10	3479.62043424725
2	10	3608.49684827693
3	10	626.3704166492
4	10	600.14921863495
5	10	2688.32742343672
6	10	2095.03974123453
7	10	103.619848709239
8	10	286.090709795866
9	10	111.691464737535
10	10	0
11	10	1420.24145779805
12	10	1348.92501157207
13	10	366.800836114966
14	10	181.868507853818
15	10	181.868507853818
16	10	99.3020383342643
17	10	130.482870018916
18	10	130.482870018916
19	10	310.665114156956
20	10	310.665114156956
21	10	207.516680034741
22	10	207.516680034741
23	10	3908.86047696963
24	10	3264.08689206358
25	10	3160.66997863216
26	10	4238.26658153665
27	10	4412.41332527137
28	10	1452.58816473448
29	10	1635.24811887094
30	10	1509.88941580987
31	10	1258.34895215366
32	10	1492.91251689727
33	10	841.760234353249
34	10	841.760234353249
35	10	115.392028928329
36	10	4409.20090336046
1	11	2088.34719180009
2	11	2228.83682714171
3	11	804.970480288146
4	11	832.385859487087
5	11	1334.42348268857
6	11	777.693439965003
7	11	1336.86003404444
8	11	1678.81384886476
9	11	1315.51230038539
10	11	1420.24145779805
11	11	0
12	11	79.2156005662176
13	11	1072.68718302801
14	11	1258.17000952663
15	11	1258.17000952663
16	11	1428.00873618347
17	11	1471.1761532262
18	11	1471.1761532262
19	11	1125.79661511321
20	11	1125.79661511321
21	11	1228.99842195305
22	11	1228.99842195305
23	11	2521.66842733794
24	11	1880.38087569343
25	11	1777.75949800125
26	11	2849.90405834434
27	11	3023.26566577353
28	11	167.232827651303
29	11	269.425782481988
30	11	161.499661247338
31	11	187.21353826277
32	11	138.292016936377
33	11	630.425651933129
34	11	630.425651933129
35	11	1306.364165267
36	11	3027.94824405739
1	12	2150.21263761267
2	12	2288.76931406546
3	12	737.509543589607
4	12	764.957807099246
5	12	1387.76820151835
6	12	820.732449765435
7	12	1265.21489552878
8	12	1610.42494383158
9	12	1245.17943702055
10	12	1348.92501157207
11	12	79.2156005662176
12	12	0
13	12	999.042838246433
14	12	1185.8273747552
15	12	1185.8273747552
16	12	1355.5040803612
17	12	1398.47272009881
18	12	1398.47272009881
19	12	1054.26165626349
20	12	1054.26165626349
21	12	1158.90101222187
22	12	1158.90101222187
23	12	2583.23120952325
24	12	1940.68519067265
25	12	1837.77234611973
26	12	2911.88244916387
27	12	3085.48602459317
28	12	170.20659891357
29	12	315.362084692792
30	12	194.600571811898
31	12	121.016157741872
32	12	172.368737349476
33	12	553.925297392741
34	12	553.925297392741
35	12	1235.5335607031
36	12	3088.74064988332
1	13	3116.36900997281
2	13	3243.6971542245
3	13	328.125083941488
4	13	308.991417512549
5	13	2322.76832807116
6	13	1728.98766814488
7	13	276.107332374928
8	13	644.474341707137
9	13	277.051741279962
10	13	366.800836114966
11	13	1072.68718302801
12	13	999.042838246433
13	13	0
14	13	192.380312014151
15	13	192.380312014151
16	13	358.729448884589
17	13	400.985708107639
18	13	400.985708107639
19	13	90.3251585780628
20	13	90.3251585780628
21	13	198.516146117753
22	13	198.516146117753
23	13	3544.64619174045
24	13	2899.95481226821
25	13	2796.55489398225
26	13	3874.02149000054
27	13	4048.17805406857
28	13	1092.65259345116
29	13	1275.68744474314
30	13	1151.97886274544
31	13	903.888432027405
32	13	1136.10220145571
33	13	475.823678209752
34	13	475.823678209752
35	13	263.354260610054
36	13	4044.16826369945
1	14	3307.52386894485
2	14	3434.73062658119
3	14	484.43798166664
4	14	460.467289037694
5	14	2513.82613398917
6	14	1919.52009679152
7	14	84.5229335319392
8	14	455.791141972062
9	14	109.004413963718
10	14	181.868507853818
11	14	1258.17000952663
12	14	1185.8273747552
13	14	192.380312014151
14	14	0
15	14	0
16	14	170.1595388426
17	14	214.985466420353
18	14	214.985466420353
19	14	137.595927654227
20	14	137.595927654227
21	14	83.3774136978717
22	14	83.3774136978717
23	14	3735.69623228158
24	14	3090.98098997978
25	14	2987.5759035338
26	14	4065.07995918613
27	14	4239.22781563846
28	14	1282.06890468724
29	14	1465.01993634539
30	14	1340.56276419493
31	14	1090.83424752536
32	14	1324.33413486767
33	14	666.70393232777
34	14	666.70393232777
35	14	96.5329653910376
36	14	4235.21409799882
1	15	3307.52386894485
2	15	3434.73062658119
3	15	484.43798166664
4	15	460.467289037694
5	15	2513.82613398917
6	15	1919.52009679152
7	15	84.5229335319392
8	15	455.791141972062
9	15	109.004413963718
10	15	181.868507853818
11	15	1258.17000952663
12	15	1185.8273747552
13	15	192.380312014151
14	15	0
15	15	0
16	15	170.1595388426
17	15	214.985466420353
18	15	214.985466420353
19	15	137.595927654227
20	15	137.595927654227
21	15	83.3774136978717
22	15	83.3774136978717
23	15	3735.69623228158
24	15	3090.98098997978
25	15	2987.5759035338
26	15	4065.07995918613
27	15	4239.22781563846
28	15	1282.06890468724
29	15	1465.01993634539
30	15	1340.56276419493
31	15	1090.83424752536
32	15	1324.33413486767
33	15	666.70393232777
34	15	666.70393232777
35	15	96.5329653910376
36	15	4235.21409799882
1	16	3472.37594224012
2	16	3598.04338115333
3	16	651.514788619684
4	16	626.759388271712
5	16	2676.18095049781
6	16	2081.48629863854
7	16	100.347779216096
8	16	318.763051107889
9	16	156.355245480183
10	16	99.3020383342643
11	16	1428.00873618347
12	16	1355.5040803612
13	16	358.729448884589
14	16	170.1595388426
15	16	170.1595388426
16	16	0
17	16	47.4567353252619
18	16	47.4567353252619
19	16	304.537425949241
20	16	304.537425949241
21	16	217.938571473677
22	16	217.938571473677
23	16	3899.63162338349
24	16	3255.127099019
25	16	3151.76359062098
26	16	4228.93194409867
27	16	4403.07109291312
28	16	1449.41210498544
29	16	1632.40507884272
30	16	1508.49985126145
31	16	1259.61243689638
32	16	1492.58874894326
33	16	830.87468256898
34	16	830.87468256898
35	16	157.150209969666
36	16	4398.05691434569
1	17	3511.31552364799
2	17	3636.04817429678
3	17	697.900089301824
4	17	673.305633321997
5	17	2713.81810055287
6	17	2118.95758958915
7	17	147.192455351118
8	17	300.86464973999
9	17	201.572308510488
10	17	130.482870018916
11	17	1471.1761532262
12	17	1398.47272009881
13	17	400.985708107639
14	17	214.985466420353
15	17	214.985466420353
16	17	47.4567353252619
17	17	0
18	17	0
19	17	347.713254570228
20	17	347.713254570228
21	17	262.853309194618
22	17	262.853309194618
23	17	3937.96350254798
24	17	3293.63054242419
25	17	3190.30085232521
26	17	4267.19582975058
27	17	4441.31750949406
28	17	1490.15200779288
29	17	1673.11460027065
30	17	1549.64146754797
31	17	1301.54258095265
32	17	1533.99078290913
33	17	870.335841053662
34	17	870.335841053662
35	17	203.602588278994
36	17	4435.75282784089
1	18	3511.31552364799
2	18	3636.04817429678
3	18	697.900089301824
4	18	673.305633321997
5	18	2713.81810055287
6	18	2118.95758958915
7	18	147.192455351118
8	18	300.86464973999
9	18	201.572308510488
10	18	130.482870018916
11	18	1471.1761532262
12	18	1398.47272009881
13	18	400.985708107639
14	18	214.985466420353
15	18	214.985466420353
16	18	47.4567353252619
17	18	0
18	18	0
19	18	347.713254570228
20	18	347.713254570228
21	18	262.853309194618
22	18	262.853309194618
23	18	3937.96350254798
24	18	3293.63054242419
25	18	3190.30085232521
26	18	4267.19582975058
27	18	4441.31750949406
28	18	1490.15200779288
29	18	1673.11460027065
30	18	1549.64146754797
31	18	1301.54258095265
32	18	1533.99078290913
33	18	870.335841053662
34	18	870.335841053662
35	18	203.602588278994
36	18	4435.75282784089
1	19	3178.35020578523
2	19	3306.3839952424
3	19	363.038720035364
4	19	341.020687260036
5	19	2386.7404806142
6	19	1792.35532100204
7	19	215.141020495996
8	19	575.658353347334
9	19	211.704503408143
10	19	310.665114156956
11	19	1125.79661511321
12	19	1054.26165626349
13	19	90.3251585780628
14	19	137.595927654227
15	19	137.595927654227
16	19	304.537425949241
17	19	347.713254570228
18	19	347.713254570228
19	19	0
20	19	0
21	19	118.595739657244
22	19	118.595739657244
23	19	3606.83658029863
24	19	2962.06361561599
25	19	2858.64705678208
26	19	3936.24296094545
27	19	4110.35785103062
28	19	1150.5897409944
29	19	1333.28560588295
30	19	1208.2258538615
31	19	957.764589253777
32	19	1191.79276164914
33	19	540.97006169065
34	19	540.97006169065
